magnitude,tsunami,significance,num_stations,min_distance,rms,gap,depth,severe
3.0,0,138,36.0,1.03,0.44,217.0,35.0,0
2.31,0,82,15.0,0.05846,0.23,131.0,15.16,0
4.2,0,271,50.0,3.73,0.8,89.0,571.099,0
4.7,0,340,39.0,0.965,0.51,81.0,145.952,0
3.3,0,168,37.0,0.526,0.44,200.0,35.0,0
5.4,0,449,75.0,25.313,0.82,49.0,10.0,0
4.1,0,259,43.0,1.066,1.09,78.0,28.035,0
5.0,0,385,50.0,7.033,0.96,86.0,10.0,0
7.1,1,778,134.0,0.697,0.53,23.0,46.755,1
1.6,0,40,20.0,0.02,0.1649,80.72,6.1,0
2.8,0,121,15.0,0.994,0.69,99.0,0.0,0
1.25,0,24,8.0,0.5509,0.38,144.0,5.12,0
4.2,0,271,22.0,0.27,0.46,113.0,164.91,0
2.13,0,70,24.0,0.1254,0.36,141.0,9.61,0
5.4,0,449,140.0,1.898,0.52,44.0,63.392,1
6.1,0,638,274.0,1.127,0.63,28.0,346.0,1
4.2,0,271,41.0,1.797,0.46,141.0,10.0,0
4.8,0,354,19.0,12.679,0.63,159.0,10.0,0
3.96,0,241,9.0,1.78,0.47,224.0,116.0,0
3.4,0,178,17.0,0.0,0.2,70.0,9.5507,0
5.3,0,432,118.0,1.769,0.66,67.0,54.945,1
5.0,0,385,87.0,7.375,0.52,51.0,10.0,0
1.34,0,28,13.0,0.131,0.21,78.0,5.0,0
4.2,0,271,26.0,3.6,0.79,108.0,47.02,0
2.5,0,96,15.0,0.0,0.1,57.0,8.1882,0
4.4,0,298,20.0,4.103,0.73,81.0,23.324,0
4.5,0,312,64.0,1.649,0.94,43.0,25.954,0
4.0,0,246,16.0,2.955,0.39,107.0,59.485,0
2.27,0,79,29.0,0.08268,0.23,117.0,6.24,0
5.0,0,385,60.0,3.421,0.9,124.0,10.0,0
5.0,0,385,66.0,6.688,0.69,44.0,155.602,0
3.02,0,141,19.0,0.1873,0.14,244.0,78.81,0
6.4,0,633,295.0,5.194,0.8,16.0,580.0,1
6.1,0,573,120.0,1.135,0.58,50.0,10.0,1
5.0,0,385,133.0,1.56,0.61,32.0,336.23,0
3.0,0,138,10.0,0.503,0.24,304.0,71.738,0
5.3,0,432,54.0,1.937,0.62,88.0,54.05,0
1.8,0,50,18.0,0.0,0.1,60.0,7.674,0
